fold,auc,accuracy,precision,recall,f1
1,0.9515625000000001,0.8881578947368421,0.8889952153110048,0.8881578947368421,0.8882305855630888
2,0.9661253710494151,0.875,0.8751321353065539,0.875,0.8747205785667324
3,0.9608658008658009,0.875,0.8750433125433127,0.875,0.8749837627192033
4,0.9551248472149467,0.8947368421052632,0.8963430772179277,0.8947368421052632,0.894919876634727
5,0.9582105080631178,0.8881578947368421,0.8885911424903723,0.8881578947368421,0.8880267329924081
